gene,brain,region,side,value
3180342,144,DFC,R,5.49712
3180342,144,DFC,L,5.89798
3180342,182,DFC,L,5.39608
3180342,183,DFC,L,5.28001
3210108,135,CBC,L,6.34367
3210108,144,CBC,R,7.21121
3210108,144,CBC,L,6.730110000000002
3210108,182,CBC,L,6.86388
3210108,183,CBC,L,7.03822
3210108,135,DFC,R,7.14738
3210108,135,DFC,L,7.22438
3210108,144,DFC,R,7.04147
3210108,144,DFC,L,7.14385
3210108,182,DFC,L,7.430960000000002
3210108,183,DFC,L,7.20811
3274758,135,CBC,L,4.931780000000002
3274758,144,CBC,R,4.32366
3274758,144,CBC,L,3.95811
3274758,182,CBC,L,4.22916
3274758,183,CBC,L,5.71282
3274758,135,DFC,R,4.6682
3274758,135,DFC,L,4.23225
3274758,144,DFC,R,4.45184
3274758,144,DFC,L,4.17401
3274758,182,DFC,L,4.60326
3274758,183,DFC,L,4.45713
3281358,135,CBC,L,4.685230000000002
3281358,144,CBC,R,4.09595
3281358,144,CBC,L,3.86297
3281358,182,CBC,L,3.96446
3281358,183,CBC,L,4.52913
3281358,135,DFC,L,4.44614
3281358,135,DFC,R,4.50822
3281358,144,DFC,R,3.86526
3281358,144,DFC,L,4.3486
3281358,182,DFC,L,4.358619999999998
3281358,183,DFC,L,4.21443
3332964,135,CBC,L,5.72129
3332964,144,CBC,R,5.879580000000002
3332964,144,CBC,L,6.12971
3332964,182,CBC,L,5.68495
3332964,183,CBC,L,5.91281
3332964,135,DFC,R,5.88358
3332964,135,DFC,L,6.03967
3332964,144,DFC,R,6.25677
3332964,144,DFC,L,6.23916
3332964,182,DFC,L,5.66925
3332964,183,DFC,L,5.9861
3334290,135,CBC,L,5.9969
3334290,144,CBC,L,5.96691
3334290,144,CBC,R,6.28832
3334290,182,CBC,L,5.69372
3334290,183,CBC,L,5.57228
3334290,135,DFC,R,5.79005
3334290,135,DFC,L,4.51995
3334290,144,DFC,L,5.4857
3334290,144,DFC,R,4.73508
3334290,182,DFC,L,5.43092
3334290,183,DFC,L,5.31304
3338783,135,CBC,L,5.17037
3338783,144,CBC,L,5.18429
3338783,144,CBC,R,6.06501
3338783,182,CBC,L,5.7354400000000005
3338783,183,CBC,L,6.59179
3338783,135,DFC,L,5.7127
3338783,135,DFC,R,5.70367
3338783,144,DFC,L,6.05409
3338783,144,DFC,R,5.14909
3338783,182,DFC,L,6.0077099999999986
3338783,183,DFC,L,6.2958
3358401,135,CBC,L,8.898060000000003
3358401,144,CBC,L,8.22547
3358401,144,CBC,R,7.941969999999999
3358401,182,CBC,L,7.964139999999999
3358401,183,CBC,L,7.72088
3358401,135,DFC,L,8.03653
3358401,135,DFC,R,8.559330000000001
3358401,144,DFC,L,9.15688
3358401,144,DFC,R,8.77318
3358401,182,DFC,L,8.08505
3358401,183,DFC,L,8.232999999999999
3370869,135,CBC,L,5.9972900000000005
3370869,144,CBC,L,5.2563900000000015
3370869,144,CBC,R,5.50669
3370869,182,CBC,L,5.36108
3370869,183,CBC,L,5.56365
3370869,135,DFC,L,5.9337
3370869,135,DFC,R,5.50376
3370869,144,DFC,L,5.04045
3370869,144,DFC,R,5.68699
3370869,182,DFC,L,6.19128
3370869,183,DFC,L,5.8533800000000005
3375192,135,CBC,L,4.85396
3375192,144,CBC,R,6.00108
3375192,144,CBC,L,5.62332
3375192,182,CBC,L,4.88095
3375192,183,CBC,L,6.01734
3375192,135,DFC,L,5.14156
3375192,135,DFC,R,5.44489
3375192,144,DFC,R,5.07304
3375192,144,DFC,L,5.24052
3375192,182,DFC,L,5.00349
3375192,183,DFC,L,4.97334
3395807,135,CBC,L,4.66407
3395807,144,CBC,R,4.63237
3395807,144,CBC,L,3.52471
3395807,182,CBC,L,3.44766
3395807,183,CBC,L,5.12389
3395807,135,DFC,L,3.64321
3395807,135,DFC,R,4.40152
3395807,144,DFC,L,3.55995
3395807,144,DFC,R,3.4681800000000003
3395807,182,DFC,L,3.76888
3395807,183,DFC,L,3.898
3402315,135,CBC,L,7.405769999999999
3402315,144,CBC,L,6.55
3402315,144,CBC,R,7.16673
3402315,182,CBC,L,7.09415
3402315,183,CBC,L,6.853039999999999
3402315,135,DFC,L,8.603810000000001
3402315,135,DFC,R,8.44488
3402315,144,DFC,L,8.51249
3402315,144,DFC,R,8.12209
3402315,182,DFC,L,8.12072
3402315,183,DFC,L,9.15764
3440998,135,CBC,L,4.78049
3440998,144,CBC,L,4.70587
3440998,144,CBC,R,5.00979
3440998,182,CBC,L,3.94033
3440998,183,CBC,L,6.10385
3440998,135,DFC,L,4.53372
3440998,135,DFC,R,3.97117
3440998,144,DFC,R,4.62942
3440998,144,DFC,L,4.4023900000000005
3440998,182,DFC,L,4.98984
3440998,183,DFC,L,4.62456
3447863,135,CBC,L,7.81376
3447863,144,CBC,R,7.555989999999999
3447863,144,CBC,L,7.4473600000000015
3447863,182,CBC,L,8.888810000000003
3447863,183,CBC,L,8.19132
3447863,135,DFC,L,7.59479
3447863,135,DFC,R,7.85818
3447863,144,DFC,R,8.21872
3447863,144,DFC,L,8.406930000000001
3447863,182,DFC,L,8.58583
3447863,183,DFC,L,8.18554
3482017,135,CBC,L,5.5397300000000005
3482017,144,CBC,L,4.4153
3482017,144,CBC,R,4.773630000000002
3482017,182,CBC,L,3.76899
3482017,183,CBC,L,5.6098300000000005
3482017,135,DFC,L,3.8515
3482017,135,DFC,R,4.56919
3482017,144,DFC,L,4.44003
3482017,144,DFC,R,4.04712
3482017,182,DFC,L,4.42604
3482017,183,DFC,L,3.8876
3511031,135,CBC,L,5.58239
3511031,144,CBC,L,5.62226
3511031,144,CBC,R,5.8251800000000005
3511031,182,CBC,L,5.60482
3511031,183,CBC,L,6.37164
3511031,135,DFC,L,5.812880000000002
3511031,135,DFC,R,5.8475199999999985
3511031,144,DFC,L,5.47866
3511031,144,DFC,R,5.56958
3511031,182,DFC,L,6.87685
3511031,183,DFC,L,6.5757
3543619,135,CBC,L,5.57552
3543619,144,CBC,L,6.23351
3543619,144,CBC,R,6.67212
3543619,182,CBC,L,6.48084
3543619,183,CBC,L,6.16975
3543619,135,DFC,R,5.15117
3543619,135,DFC,L,5.21148
3543619,144,DFC,L,5.45903
3543619,144,DFC,R,5.77607
3543619,182,DFC,L,5.8476300000000005
3543619,183,DFC,L,5.71406
3554104,135,CBC,L,4.71552
3554104,144,CBC,L,3.80307
3554104,144,CBC,R,4.87707
3554104,182,CBC,L,3.55386
3554104,183,CBC,L,3.92649
3554104,135,DFC,R,4.18743
3554104,135,DFC,L,4.49977
3554104,144,DFC,L,3.63928
3554104,144,DFC,R,3.78167
3554104,182,DFC,L,3.99985
3554104,183,DFC,L,4.2784
3621623,135,CBC,L,5.3286
3621623,144,CBC,R,5.57517
3621623,144,CBC,L,5.52228
3621623,182,CBC,L,4.86415
3621623,183,CBC,L,5.27002
3621623,135,DFC,R,4.88941
3621623,135,DFC,L,4.41544
3621623,144,DFC,L,4.39349
3621623,144,DFC,R,3.94519
3621623,182,DFC,L,4.5271300000000005
3621623,183,DFC,L,4.38155
3623683,135,CBC,L,7.7604
3623683,144,CBC,R,8.39315
3623683,144,CBC,L,7.726339999999999
3623683,182,CBC,L,8.252880000000001
3623683,183,CBC,L,7.8685800000000015
3623683,135,DFC,R,7.350860000000001
3623683,135,DFC,L,7.283530000000002
3623683,144,DFC,L,7.705039999999999
3623683,144,DFC,R,6.94434
3623683,182,DFC,L,7.10942
3623683,183,DFC,L,7.071269999999998
3628923,135,CBC,L,6.38244
3628923,144,CBC,L,7.31779
3628923,144,CBC,R,7.71023
3628923,182,CBC,L,7.21328
3628923,183,CBC,L,5.54228
3628923,135,DFC,R,6.58763
3628923,135,DFC,L,6.96714
3628923,144,DFC,R,6.23033
3628923,144,DFC,L,7.96546
3628923,182,DFC,L,6.62127
3628923,183,DFC,L,7.29444
3641777,135,CBC,L,4.8491300000000015
3641777,144,CBC,R,4.9043199999999985
3641777,144,CBC,L,4.3593199999999985
3641777,182,CBC,L,4.8091
3641777,183,CBC,L,5.48865
3641777,135,DFC,L,4.3407800000000005
3641777,135,DFC,R,4.38429
3641777,144,DFC,L,4.52882
3641777,144,DFC,R,4.09199
3641777,182,DFC,L,4.69997
3641777,183,DFC,L,4.24659
